Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
6.01,179.1450500488,-0.0029980317,-0.0029980317,0.0000000000,-0.00020301,-0.00004538,-0.0007616887,122
6.06,179.1398620605,-0.0027639004,-0.0027639004,0.0000000000,-0.00008323,-0.00004538,-0.0019783032,123
6.11,179.1361389160,0.0071934204,0.0071934204,0.0000000000,-0.00013529,-0.00004626,-0.0016835014,124
6.16,179.1446533203,-0.0002649599,-0.0002649599,0.0000000000,-0.00007645,-0.00004096,-0.0013611670,125
6.21,179.1501159668,-0.0136767428,-0.0136767428,0.0000000000,0.00014505,-0.00004096,-0.0009552282,126
6.26,179.1512756348,-0.0078201197,-0.0078201197,0.0000000000,0.00020856,-0.00003499,-0.0005809831,127
6.31,179.1530761719,-0.0051383532,-0.0051383532,0.0000000000,0.00021909,-0.00003499,-0.0018558499,128
6.36,179.1559906006,0.0034667404,0.0034667404,0.0000000000,0.00011230,-0.00003587,-0.0011230572,129
6.41,179.1520233154,0.0113390452,0.0113390452,0.0000000000,-0.00007000,-0.00003023,-0.0020255155,130
6.46,179.1561279297,0.0275700530,0.0275700530,0.0000000000,-0.00040401,-0.00003023,-0.0027728452,131
6.51,179.1652832031,0.0201268640,0.0201268640,0.0000000000,-0.00053261,-0.00002492,-0.0030262104,132
6.56,179.1574096680,0.0218002063,0.0218002063,0.0000000000,-0.00063703,-0.00002492,-0.0011014592,133
6.61,179.1506500244,0.0077441013,0.0077441013,0.0000000000,-0.00052061,-0.00002353,-0.0024419429,134
6.66,179.1567382812,0.0231593447,0.0231593447,0.0000000000,-0.00064762,-0.00002353,-0.0025695677,135
6.71,179.1525573730,0.0195200858,0.0195200858,0.0000000000,-0.00068371,-0.00002353,-0.0023536973,136
6.76,179.1533355713,0.0081527237,0.0081527237,0.0000000000,-0.00055624,-0.00002353,-0.0015884435,137
6.81,179.1553344727,0.0125081300,0.0125081300,0.0000000000,-0.00053203,-0.00002088,-0.0025169448,138
6.86,179.1500549316,0.0186581705,0.0186581705,0.0000000000,-0.00059612,-0.00002088,-0.0027112813,139
6.91,179.1517181396,0.0239222405,0.0239222405,0.0000000000,-0.00070742,-0.00002242,-0.0021524945,140
6.96,179.1563415527,0.0041889358,0.0041889358,0.0000000000,-0.00051957,-0.00002242,-0.0011855860,141
7.01,179.1590118408,0.0091853727,0.0091853727,0.0000000000,-0.00045844,-0.00002502,-0.0024066709,142
7.06,179.1614685059,0.0188498913,0.0188498913,0.0000000000,-0.00054527,-0.00002801,-0.0019553189,143
7.11,179.1620788574,0.0175120311,0.0175120311,0.0000000000,-0.00058728,-0.00002801,-0.0018082795,144
7.16,179.1607971191,0.0025894357,0.0025894357,0.0000000000,-0.00041635,-0.00002801,-0.0013830005,145
